set_no,name,price_store,price_used,aftermarket,popularity,category,year,volume,weight,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
8860-1,Car Chassis,59.0,94.0,35.0,89.3,Technical,1980.0,,,676,117,5,Black,Gray
3601-1,Elton Elephant,,9.0,,3.0,Bigfig-Junior,1981.0,,,7,6,3,Yellow,Brown
3629-1,Barney Bear,,9.0,,,Bigfig-Junior,1981.0,,,17,12,5,Red,Yellow
3635-1,Bonnie Bunny's Camper,,15.0,,7.0,Bigfig-Junior,1981.0,,,34,21,7,Blue,Red
6075-2,Castle,48.0,335.0,287.0,5.0,Historical,1981.0,,,774,88,7,Yellow,Gray
6077-1,Knight's Procession,5.0,43.0,38.0,4.0,Historical,1981.0,,,49,21,6,Gray,Black
6083-1,Knight's Joust,16.0,195.0,179.0,,Historical,1981.0,,,210,76,8,White,Black
6365-1,Summer Cottage,,30.0,,28.200000000000003,Modern-Town,1981.0,,,157,58,9,Yellow,Red
6382-1,Fire Station,25.0,52.0,27.0,42.300000000000004,Modern-Town,1981.0,,,396,99,11,Red,Black
6383-1,Public Works Center,30.0,447.0,417.0,30.0,Modern-Town,1981.0,,,420,106,12,Yellow,Blue
6600-1,Police Patrol,,20.0,,7.0,Modern-Town,1981.0,,,23,16,6,Black,White
6602-1,Fire Unit I,,7.0,,2.0,Modern-Town,1981.0,,,25,15,7,Red,Black
6610-1,Gas Pumps,,7.0,,12.899999999999999,Modern-Town,1981.0,,,29,16,7,White,Yellow
6611-1,Fire Chief's Car,,2.0,,12.0,Modern-Town,1981.0,,,21,16,5,Black,Red
6626-1,Rescue Helicopter,,14.0,,,Modern-Town,1981.0,,,37,22,5,White,Gray
6628-1,Shell Tow Truck,,5.0,,19.0,Modern-Town,1981.0,,,38,23,6,Red,White
6629-1,Ambulance,,4.0,,8.0,Modern-Town,1981.0,,,39,24,9,White,Black
6630-1,Bucket Loader,,5.0,,12.899999999999999,Modern-Town,1981.0,,,34,23,6,Yellow,Black
6650-1,Fire and Rescue Van,,7.0,,8.0,Modern-Town,1981.0,,,46,31,7,Red,Black
6680-1,Ambulance,,11.0,,10.0,Modern-Town,1981.0,,,63,39,8,White,Black
6681-1,Police Van,,9.0,,14.100000000000001,Modern-Town,1981.0,,,82,42,9,Black,White
6691-1,Red Cross Helicopter,,13.0,,12.899999999999999,Modern-Town,1981.0,,,107,55,7,White,Gray
6801-1,Moon Buggy,,9.0,,28.200000000000003,Space,1981.0,,,22,18,4,Gray,Black
