set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
20203-1,Airplanes ,Miscellaneous,Master Builder Academy,,2011.0,150.0,1.0,/inventories/20203-1,/minifigs/inset-20203-1,,"New: $13, Used: $14",,,"Aircraft, Biplane, Glider, Jet Aircraft, Polybag, Propeller Aircraft",Normal,Polybag,[US] Available as part of the Master Builder Academy subscription.
21000-2,Willis Tower,Model making,Architecture,Landmark Series,2011.0,69.0,0.0,,,"£17.99, $19.99","New: $86, Used: $26",,,"Chicago, International Style, Microscale, Skidmore Owings And Merrill, Skyscraper, USA",Normal,Box,"Re-release of set 21000 Sears Tower, now renamed as Willis Tower to reflect change in ownership and name of the real building.Re-released version of 21000-1 "
21007-1,Rockefeller Center,Model making,Architecture,Architect Series,2011.0,240.0,0.0,/inventories/21007-1,,"£34.99, $39.99","New: $119, Used: $50",4.5,2,"Art Deco, Microscale, Modern, New York, Skyscraper, USA",Normal,Box,
21008-1,Burj Khalifa,Model making,Architecture,Landmark Series,2011.0,208.0,0.0,/inventories/21008-1,,"£22.99, $24.99","New: $96, Used: $34",4.3,4,"Dubai, Microscale, Skyscraper, United Arab Emirates",Normal,Box,
21009-1,Farnsworth House,Model making,Architecture,Architect Series,2011.0,546.0,0.0,/inventories/21009-1,,"£54.99, $59.99","New: $190, Used: $128",4.4,5,"House, International Style, Microscale, Modernist, USA",Normal,Box,
21010-1,Robie House,Model making,Architecture,Architect Series,2011.0,2276.0,0.0,/inventories/21010-1,,"£169.99, $199.99","New: $416, Used: $301",4.6,7,"Chicago, Frank Lloyd Wright, House, Microscale, USA",Normal,Box,
21011-1,Brandenburg Gate,Model making,Architecture,Landmark Series,2011.0,363.0,0.0,/inventories/21011-1,,"£34.99, $34.99, 34.99€","New: $55, Used: $34",5.0,3,"Germany, Microscale, Neoclassical, Statue",Normal,Box,
21200-1,Life Of George 1,Miscellaneous,Life of George,,2011.0,146.0,0.0,/inventories/21200-1,,"£29.99, $29.99","New: $17, Used: $6",3.0,2,"App Powered, Video Game",Normal,,Learn more about Life of George at george.LEGO.com
30014-1,Police Helicopter,Modern day,City,Police,2011.0,32.0,1.0,/inventories/30014-1,/minifigs/inset-30014-1,$4.99,"New: $3, Used: $1",3.0,2,"Aircraft, Helicopter, Microlight, Police, Police Helicopter, Polybag",Normal,Polybag,"[US] Target exclusive.[UK] Part of an Esso promotion in July 2011 and free with The Sun newspaper on 10 December 2011.[BE, NL] Free as part of a promotion from Kruidvat, a chain store in Belgium and the Netherlands during November 2011."
30015-1,Jet Ski,Modern day,City,Harbour,2011.0,24.0,2.0,/inventories/30015-1,/minifigs/inset-30015-1,,"New: $6, Used: $3",4.2,5,"Jetski, Polybag",Normal,Polybag,[US] Available from TRU.[UK] Part of an Esso promotion in July 2011.
30016-1,Satellite,Modern day,City,Space,2011.0,35.0,0.0,/inventories/30016-1,,,"New: Not known, Used: Not known",,,"Polybag, Satellite, Space, Unreleased",Normal,Polybag,LEGO has confirmed that this set was never produced however many people have replicated the set by using the instruction sheet and parts list available on-line.
30022-1,Bee,Model making,Creator,,2011.0,23.0,0.0,/inventories/30022-1,,,"New: Not known, Used: Not known",,,"Brick Built Animals, Insect, Polybag, Unreleased",Normal,Polybag,LEGO has confirmed that this set was never produced.
30023-1,Lighthouse,Model making,Creator,,2011.0,25.0,0.0,/inventories/30023-1,,,"New: $10, Used: $5",2.5,2,"Lighthouse, Microscale, Polybag",Normal,Polybag,[US] Available from TRU. [NL] Available at Gamma stores in the Netherlands with a 50 Euro purchase during October 2011 (also sold separately).
30024-1,Truck,Model making,Creator,,2011.0,59.0,0.0,/inventories/30024-1,,,"New: $3, Used: $3",3.0,1review,"Microscale, Polybag, Truck",Normal,Polybag,[UK] Available as part of The Sun newspaper promotion in October 2011.
30025-1,Clown Fish,Model making,Creator,,2011.0,59.0,0.0,/inventories/30025-1,,$3.99,"New: $4, Used: $5",5.0,2,"Brick Built Animals, Fish, Polybag",Normal,Polybag,[CA] Sold at London Drugs.[NL] Available at Gamma stores in the Netherlands with a 50 Euro purchase during October 2011 (also sold separately).[US] Sold at Five Below for $3.99[DE] Part of a Birthday Club promotion at Vedes.
30026-1,Panda,Model making,Creator,,2011.0,62.0,0.0,/inventories/30026-1,,,"New: $4, Used: $4",4.0,1review,"Brick Built Animals, Polybag",Normal,Polybag,[NL] Available at Gamma stores in the Netherlands with a 50 Euro purchase during October 2011 (also sold separately).[DE] Part of a Birthday Club promotion at Vedes.
30027-1,Reindeer,Model making,Creator,,2011.0,66.0,0.0,/inventories/30027-1,,,"New: $9, Used: $8",,,"Brick Built Animals, Deer, Polybag",Normal,Polybag,"[AUS] Free gift with LEGO Club magazine, Dec 2011."
30028-1,Holiday Wreath,Model making,Creator,Seasonal,2011.0,50.0,0.0,/inventories/30028-1,,$4.99,"New: $10, Used: $4",3.8,4,"Christmas, Polybag",Normal,Polybag,[US] Available from TRU ($4.99) and Walmart ($3.47) during Dec 2011.
30029-1,Pudsey Bear,Model making,Creator,,2011.0,95.0,0.0,/inventories/30029-1,,£4.00,"New: $7, Used: $4",5.0,1review,"Bear, Brick Built Animals, Charity, Polybag",Normal,Polybag,"[UK] Available from [email protected], Brand stores and Asda from October 2011 to early December 2011. £1 from each sale went to BBC Children in Need charity."
30036-1,Buggy Racer,Racing,Racers,Tiny Turbos,2011.0,26.0,0.0,/inventories/30036-1,,,"New: $27, Used: $6",,,"Polybag, Racing Car",Normal,Polybag,Awarded as a prize at LEGOLAND Billund in 2011.
30051-1,Mini X-wing,Licensed,Star Wars,Mini Building Set,2011.0,61.0,0.0,/inventories/30051-1,,$3.49,"New: $10, Used: $5",4.6,7,"Microscale, Original Trilogy, Polybag, Rebel Alliance, Starfighter",Normal,Polybag,[UK] Given away with The Sun May 2011 promotion in the UK. This version has a different polybag design to that released in the US.[US] Sold at Target for $3.49 and Five Below for $3.99
30052-1,AAT,Licensed,Star Wars,Episode I,2011.0,46.0,0.0,/inventories/30052-1,,$3.99,"New: $12, Used: $8",4.0,1review,"Aat, Microscale, Naboo, Polybag, Prequel Trilogy, The Phantom Menace, Trade Federation",Normal,Polybag,[US] Available at Target for $3.99 in Sept 2011.
30053-1,Republic Attack Cruiser,Licensed,Star Wars,The Clone Wars,2011.0,41.0,0.0,/inventories/30053-1,,$3.99,"New: $5, Used: $4",3.8,6,"Cartoon, Cartoon Network, Galactic Republic, Microscale, Polybag",Normal,Polybag,"[UK] Available as part of The Sun newspaper promotion in October 2011.[JP] Available from Gacha Vending Machines inside a plastic ball for 400 Yen.[US] Available from Target, October 2013."
30054-1,AT-ST,Licensed,Star Wars,Episode VI,2011.0,46.0,0.0,/inventories/30054-1,,,"New: $7, Used: $5",3.7,3,"Galactic Empire, Microscale, Original Trilogy, Polybag, Return Of The Jedi, Walker",Normal,Polybag,[UK] Promotional set given away with The Sun newspaper in the UK on 18th May 2011. [US] Target exclusive.
30055-1,Vulture Droid,Licensed,Star Wars,Mini Building Set,2011.0,45.0,0.0,/inventories/30055-1,,,"New: $3, Used: $2",4.0,2,"Droid, Microscale, Polybag, Revenge of the Sith, Separatists, Starfighter",Normal,Polybag,[US] Sold at TRU in Sept 2011.[UK] Given away with The Sun newspaper promotion on Dec 3rd 2011.
